mwra	c.android.gm	c.android.chrome	c.dogalize	c.katana	c.android.youtube	p.android.documentsui	p.system	p.android.chrome	p.android.externalstorage	p.android.gm	p.android.packageinstaller	p.olauncher
1.0	16.68102	10.7023	9.91204	11.0989	15.07252	12.29161	9.35929	11.19861	8.94784	14.77268	12.15561	0.01656
0.0	12.98848	9.29394	9.76464	8.44822	15.09994	11.72178	11.68997	12.70802	7.77424	10.96989	10.35644	0.00933
1.0	15.36268	7.61731	15.03921	11.70731	11.78767	14.49799	13.17935	12.0721	9.94565	14.08639	11.90516	0.15064
1.0	10.80566	9.93709	12.42455	11.40119	14.50448	12.57692	8.1947	9.23052	13.96887	11.8666	12.65593	0.02212
1.0	13.26786	14.2726	17.55873	12.95328	9.36296	16.60605	11.02844	6.16689	6.95812	8.67734	9.93206	0.027995
1.0	14.94267	7.43511	12.836	14.77108	12.73825	12.94018	10.58173	10.31439	5.7787	15.3234	10.63508	0.03176
1.0	9.19491	12.67496	8.66967	14.6072	7.94175	8.1257	9.12862	10.11442	8.98982	9.87629	11.47741	0.00025
1.0	9.21149	13.24317	10.7809	16.47791	7.67069	12.20822	8.74786	10.69403	6.2931	11.20484	12.19973	0.01529
0.0	7.95792	15.77157	8.80326	15.98062	6.52787	7.9727	9.65218	8.36768	8.92076	10.43954	11.24845	0.00022
1.0	4.94544	10.81261	11.44786	10.49211	11.21656	11.4377	13.00121	13.2658	13.04595	11.54098	8.37068	0.00704
0.0	12.09087	9.41821	9.03361	10.85612	14.01898	11.21676	11.5353	11.87817	9.63746	8.9252	13.34309	0.00576
0.0	14.52083	9.4773	9.50346	9.41084	14.04922	14.08362	15.35365	14.62793	8.91875	11.59364	14.49389	0.09955
1.0	15.68385	10.9724	13.23909	12.23305	10.23845	13.63343	10.89525	9.94433	9.22779	14.81924	15.8031	0.06344
1.0	13.68781	8.87221	16.09067	14.20851	12.67148	8.70971	8.87242	13.48328	8.54773	11.56676	11.39889	0.0004
1.0	10.43209	16.80951	13.37931	14.86436	9.05169	12.42545	10.57078	9.57239	11.58163	6.8184	6.73711	0.01904
1.0	10.32521	15.38416	13.0937	14.20106	8.25898	11.36047	8.99062	4.83224	8.91145	5.73736	9.04309	0.00658
1.0	10.7257	14.62442	13.11264	15.42858	9.15661	12.60959	10.69707	11.73699	8.64764	8.31729	10.01725	0.0228
1.0	14.09558	8.93654	9.85633	12.35828	13.95113	15.62421	10.65023	8.24495	5.93877	16.5557	13.62455	0.027995
1.0	7.55746	12.20334	14.02845	9.75873	9.28723	12.44193	16.31287	8.85823	13.82801	7.30671	5.43489	0.0193
0.0	18.28672	11.07306	10.81558	10.57309	12.65235	13.30074	10.90571	9.63635	5.57147	7.83733	16.73916	0.04556
1.0	12.29773	9.57699	12.05673	15.18658	14.4861	13.66422	9.81729	8.96586	11.91931	12.75893	10.92993	0.06537
1.0	13.29165	9.10356	15.74975	15.40271	13.37963	12.38126	11.33786	12.3534	10.59064	10.13815	9.31741	0.01815
1.0	8.50781	10.386155	15.3884	13.21707	10.8001	12.87479	10.53885	5.00983	12.54478	8.36645	7.63011	0.02979
1.0	15.49135	12.43666	15.64716	7.47422	9.60114	12.17519	8.01483	13.12483	9.5562	12.71367	15.07916	0.01482
0.0	14.39838	10.56261	11.70444	9.25698	11.11771	13.71285	12.46009	11.92364	9.84459	8.90528	13.67309	0.06871
1.0	6.30856	10.386155	8.80678	13.61394	7.89948	13.178889841463416	10.2613	3.5487	12.93719	8.65749	7.82776	8e-05
0.0	12.47823	10.15009	12.27294	9.74776	13.31233	12.92667	15.09355	13.83224	12.25062	10.64075	10.60576	0.03131
1.0	13.00519	11.21261	12.76053	12.7439	14.35987	12.42444	7.63901	10.79566	13.32224	11.41173	12.01778	0.01892
1.0	13.02195	7.99004	16.28832	12.91864	11.73483	11.73607	10.31913	11.42225	8.76625	12.77223	12.95415	0.00958
0.0	12.80536	12.43894	9.59339	10.22984	11.42494	13.85083	12.11521	10.13774	9.38619	7.82178	13.75507	0.0788
0.0	11.99676	8.19963	8.10233	9.52166	14.23488	11.70439	12.42728	13.99901	9.92481	11.91348	11.91538	0.00921
0.0	7.80264	9.06432	12.58954	9.67785	11.09937	13.31794	17.43896	14.98399	14.16916	12.58857	9.65727	0.04635
1.0	10.64424	12.36721	15.82814	10.71737	11.62917	16.09954	10.81333	13.59718	12.64949	8.82209	5.7032	0.027995
0.0	11.92131	8.80946	13.14696	10.15542	10.13238	9.86381	15.68957	12.00285	13.52	9.8528	13.25772	0.00148
1.0	14.0582	11.33361	11.81759	11.71589	14.97903	15.38791	8.28483	9.35728	9.64427	12.35387	12.94753	0.16342249999999997
1.0	7.66764	11.13249	13.17579	12.99428	11.14781	15.46556	9.00761	12.25226	7.55943	11.85734	10.37356	0.027995
1.0	12.19916	11.34413	17.49895	10.07496	11.74549	17.93015	8.71453	10.50258	10.91771	8.49501	6.99611	0.027995
1.0	14.65281	10.20281	14.68872	9.70733	10.42278	13.87952	7.69193	12.87698	5.94782	14.35056	12.72458	0.08115
1.0	13.04488	12.95651	14.03553	15.57252	11.31933	12.52004	10.48603	7.94533	13.90923	9.54893	12.69251	0.0209
0.0	10.5329	11.12068	15.20104	8.50131	11.13817	13.3103	13.63417	11.56527	15.47105	10.35701	9.53321	0.04592
0.0	14.98851	7.30165	9.06624	6.96752	12.24004	14.2579	14.14753	14.4118	10.58066	9.92702	16.197	0.11844
1.0	13.6937	8.62869	12.3979	12.8341	13.80343	13.25125	9.76945	9.30036	9.65321	14.39398	14.54267	0.04338
1.0	12.6973	10.06987	12.77082	18.1124	12.54511	13.44113	11.16227	6.5674	9.56042	11.99127	14.62496	0.05234
0.0	16.95015	10.84666	11.16655	7.46501	11.82108	12.95471	11.96003	10.10264	7.50598	11.32933	15.84831	0.0322
1.0	8.82781	10.31105	11.98474	10.96099	9.77526	13.40661	6.65906	9.78701	10.19206	12.25589	9.97421	0.05054
1.0	11.51505	8.05703	8.94386	8.90741	16.20425	9.82263	10.31327	13.41465	8.28331	10.6558	11.9463	0.00148
0.0	14.42232	11.6261	12.58252	8.66454	11.52527	13.11375	17.21347	12.75267	11.10568	11.71258	8.788	0.03776
1.0	9.35208	12.05144	11.98912	12.78924	9.08301	12.28499	8.75975	9.71912	10.94007	7.39489	8.10175	0.01648
0.0	12.3405	7.9236	12.03309	11.53326	11.88445	10.35259	16.46277	13.00867	15.16447	8.88376	13.70377	0.00242
1.0	11.58721	13.54049	14.02013	15.81374	8.56326	11.20213	9.929	8.94734	9.21933	7.86234	12.25095	0.00554
1.0	9.70034	10.386155	17.1703	14.39133	10.45728	14.85507	12.17197	6.94872	12.33589	5.05933	6.01514	0.16342249999999997
1.0	15.00998	12.44022	17.17735	9.66178	11.4409	14.79556	12.10592	14.39945	12.61708	8.29589	5.71312	0.16342249999999997
1.0	13.7191	7.82169	10.455	9.44719	11.64062	11.44811	13.12844	12.33919	10.35809	9.40823	10.68407	0.00708
0.0	11.75677	8.77636	7.05931	10.06828	10.5845	15.28971	15.52186	15.16651	13.56044	5.9228	15.37939	0.16342249999999997
0.0	15.38725	10.85001	13.32243	9.22078	9.55571	10.35326	17.94981	12.4945	13.43847	9.91106	14.37386	0.00243
1.0	13.72172	7.6308	12.46531	12.54435	14.2754	14.12536	10.17134	9.55456	9.45369	14.33449	12.54742	0.10375
0.0	13.09358	10.76024	9.33836	13.52979	14.58343	14.66923	10.92691	7.6562	8.03162	14.15175	12.51652	0.16342249999999997
1.0	14.32417	9.14744	13.00002	13.69998	11.69468	11.52982	10.77994	9.75534	9.3272	14.782	13.28181	0.00778
0.0	9.49813	9.68806	15.18095	8.84905	10.81284	15.43836	13.00048	11.68106	14.18849	9.69291	7.38483	0.16342249999999997
1.0	9.58013	8.04351	15.7715	14.96402	13.8007	15.2915	11.20477	6.30791	10.5092	11.18611	17.39282	0.16342249999999997
1.0	14.78826	10.72576	9.11691	11.53449	16.81273	14.49051	7.91786	9.27898	9.58534	13.72173	12.51171	0.14957
0.0	11.85069	9.39748	9.66073	11.45017	11.26803	15.39941	15.9936	15.57915	12.86356	7.36295	13.63251	0.16342249999999997
1.0	12.30201	8.69265	16.2209	11.26403	15.16676	12.24443	9.09298	11.23905	6.92477	10.19213	10.35173	0.01586
1.0	11.46474	9.06382	15.58692	14.4185	13.09845	10.15118	9.72498	11.8648	10.23677	10.89107	6.88472	0.00198
0.0	13.29425	9.51795	10.79514	8.54349	15.8429	12.80406	13.26202	12.7678	7.01683	10.55235	13.43245	0.0277
1.0	13.53111	8.97236	11.18763	13.18601	15.22769	14.58681	10.92194	9.74299	7.12062	14.59218	12.47391	0.16342249999999997
0.0	14.70316	10.86546	10.66763	9.94013	11.45257	14.24206	13.40835	11.23663	9.24988	7.87458	14.54602	0.11663
1.0	11.23101	10.92668	12.16466	11.82462	8.45244	11.93765	10.74528	11.3895	9.83455	10.22439	9.61357	0.01165
1.0	12.77923	9.08297	12.6348	9.3182	11.70046	13.63993	14.20997	10.05221	15.65964	10.49731	11.26048	0.06386
0.0	11.34526	9.05218	9.80324	10.04821	17.91679	10.08428	11.412	13.06866	7.20755	13.4954	11.49201	0.00186
0.0	17.04618	10.01207	7.94544	11.49952	14.9754	13.99129	11.8906	13.45375	5.04246	7.8622	13.94493	0.0908
0.0	13.13689	11.60609	16.74557	11.90356	15.01184	15.48898	12.64364	15.37142	15.57651	9.73799	9.36817	0.027995
1.0	10.78346	10.72507	17.0303	9.29344	12.84603	13.58723	12.55613	9.18439	13.85292	12.20582	9.76605	0.06065
0.0	13.11734	11.70981	16.23848	11.8311	13.23723	15.5511	15.7274	14.03196	15.23486	9.61135	10.734	0.027995
1.0	11.28503	14.96271	15.9401	11.84947	9.00138	14.93397	11.35385	6.08049	10.80133	6.89926	6.36331	0.16342249999999997
0.0	10.22682	11.1104	14.73424	6.50428	12.778	14.40675	12.01037	13.60757	15.20724	9.12522	10.91399	0.13752
1.0	12.05481	9.15622	12.21713	11.33546	16.48447	12.71343	10.59932	10.44952	12.90868	12.39056	11.305	0.02528
1.0	13.1054	8.08433	13.05003	13.06817	14.54633	8.91534	7.82732	13.04936	10.69986	13.94267	7.50778	0.00057
1.0	11.43872	13.74486	14.52475	14.31795	9.33352	14.24597	8.22776	8.28036	8.65709	13.78206	12.15651	0.11711
0.0	13.66197	10.47746	12.99846	8.57978	12.68821	13.74522	14.57097	11.52858	12.61296	10.19329	12.18436	0.07093
0.0	12.2761	10.50196	14.53951	8.84986	14.8768	14.39163	10.19478	15.56923	13.07137	9.59573	8.63273	0.1354
1.0	12.52503	14.48008	16.64924	12.12929	10.91026	15.43272	9.22956	6.19842	7.9229	7.88203	9.4692	0.16342249999999997
1.0	14.17828	11.96676	9.73203	11.04237	15.52942	14.89731	6.25159	8.94964	9.41689	14.01852	17.4737	0.16342249999999997
1.0	9.13659	10.51725	14.14459	11.9215	7.76165	16.59534	12.88163	12.51155	8.50165	7.36468	7.14804	0.027995
1.0	15.17344	9.87275	11.53681	12.41479	10.24432	11.78076	9.74867	11.51381	6.32549	17.55174	13.58444	0.00993
1.0	12.99595	9.40368	12.23736	8.1385	15.49465	15.66552	7.6979	11.07787	11.26548	13.94085	16.94111	0.027995
1.0	5.47368	10.87927	9.68147	11.2664	9.24079	13.05346	10.06358	11.76544	10.0495	13.92703	8.69522	0.03564
1.0	14.24202	9.81294	12.65532	13.11093	12.10944	13.40357	7.60019	8.41107	6.89097	14.74816	13.62786	0.05039
1.0	10.33553	8.75841	12.74242	14.53286	14.10263	12.04041	6.68721	9.23677	5.10364	13.61982	9.74099	0.01288
0.0	11.41558	9.865	15.18372	8.312	14.62787	12.27043	9.86991	15.05759	16.34046	8.05484	9.31793	0.01624
1.0	8.56908	15.82731	8.76793	17.22572	9.76365	8.7109	6.4377	8.50318	6.64273	12.69661	13.64278	0.00044
1.0	10.04812	14.10935	11.89892	15.34849	9.68189	9.4847	10.37892	9.14918	8.98666	9.39703	12.27431	0.00097
1.0	9.72353	12.02186	7.84616	14.55629	4.77236	10.38104	8.71601	11.80088	7.77036	12.77706	11.12485	0.00252
0.0	14.77491	10.71719	9.81866	10.08072	13.84055	11.78064	13.62526	10.58965	7.61925	11.55866	12.76748	0.00998
1.0	10.52612	14.76037	16.19948	12.0188	10.86509	15.20887	10.21152	7.03194	10.70782	9.29114	8.36712	0.16342249999999997
1.0	16.59901	10.74443	9.67803	12.73701	17.15381	15.18684	12.70466	11.08658	11.63617	12.03003	10.48772	0.16342249999999997
1.0	14.85625	7.82286	14.52094	12.39658	13.45692	13.5571	9.79016	7.80151	7.17393	12.87573	14.66989	0.05883
0.0	10.7179	9.23848	7.10467	10.92249	13.4024	10.38784	11.19676	10.80266	10.00339	10.25709	11.15657	0.00258
1.0	9.23593	13.69547	13.20522	13.78607	8.68831	12.33325	11.62138	8.96914	10.98441	8.61513	8.93904	0.01729
1.0	8.70764	13.25595	11.96871	14.82931	6.6823	15.03557	8.90118	11.11764	7.66516	9.11326	9.11132	0.16342249999999997
1.0	13.09992	11.79117	14.87275	11.30242	10.87298	11.99852	8.83714	10.40391	11.31891	11.39288	14.73739	0.01237
1.0	9.14944	12.5273	14.08869	12.92973	10.66789	15.99033	8.30294	13.09869	10.38159	12.43568	9.33548	0.027995
0.0	14.77356	11.19385	8.62077	12.4868	13.70365	15.53058	15.13348	16.29427	9.30144	8.58929	16.21246	0.027995
0.0	11.92308	10.33176	10.90449	10.30035	16.39135	15.15322	8.48717	7.90315	12.95593	13.02641	15.05287	0.16342249999999997
1.0	12.48161	10.86035	14.69945	11.60094	12.58459	14.75585	14.43904	13.41453	14.58477	10.8055	9.11314	0.16342249999999997
0.0	15.67787	12.00604	9.7614	11.45869	12.00439	12.38009	11.93461	9.36874	7.43804	6.00596	14.47036	0.01806
0.0	15.26028	10.48127	6.60643	10.75708	14.12153	12.56053	11.72374	12.81226	6.72496	7.95286	11.64335	0.0217
0.0	15.45796	11.97519	10.39614	12.01848	12.70169	12.57514	11.42657	9.95068	6.70167	8.17813	11.24497	0.02197
0.0	16.82926	11.01552	10.13851	8.60684	9.94246	16.91994	15.44241	12.29885	8.7942	7.43908	13.50528	0.027995
0.0	11.92363	8.64909	13.41147	9.22618	13.46457	11.88541	12.16109	13.6907	12.63585	7.13427	7.10978	0.01107
0.0	12.44109	11.00751	13.22571	8.62258	13.2788	13.9324	15.13244	15.22822	11.95434	9.35642	11.02245	0.08558
1.0	16.43683	10.10896	12.02751	8.57524	11.65195	12.72568	10.72141	12.74005	6.07207	16.62314	11.55484	0.02561
0.0	12.30026	7.47275	13.12353	10.23513	14.40857	13.74333	10.22988	11.89694	12.24911	8.59696	7.47248	0.07082
1.0	9.74594	12.85947	10.11921	15.28565	8.50256	10.08394	6.22216	6.78456	6.36428	10.66761	13.11439	0.00189
0.0	9.95725	8.30694	13.6037	6.39648	12.79677	11.98936	12.55319	11.2561	15.91755	8.23428	9.78015	0.0123
0.0	9.99125	9.06062	11.42114	10.72165	15.28189	12.10464	13.96823	16.44744	11.85846	11.6741	13.02578	0.01371
1.0	10.4768	14.76824	15.91454	12.46269	9.30423	14.63286	13.83057	8.55813	10.74608	7.83971	7.05458	0.16342249999999997
1.0	7.20826	16.27445	11.02694	15.67702	7.95298	10.00996	9.35962	8.52873	10.84956	8.89042	9.6746	0.00174
1.0	11.9116	11.90798	11.76631	17.24144	14.22745	10.86854	12.02313	9.18987	13.05001	9.73364	6.74609	0.00405
0.0	11.92144	9.62988	14.51394	9.364	13.00718	14.8187	12.53405	10.78913	16.64907	10.51858	12.9894	0.16342249999999997
1.0	9.40602	13.96644	11.24855	15.86565	6.55119	10.12919	9.18929	8.46875	10.37268	12.3132	12.52715	0.00194
0.0	11.44202	9.76264	15.10493	17.2479	11.32726	8.85195	10.6549	9.47458	11.14317	10.88128	8.23606	0.00057
1.0	10.28364	15.58192	15.46374	13.22513	8.63552	14.1603	11.58598	7.94985	11.71176	9.30698	8.24059	0.10744
1.0	10.58643	11.05987	10.35139	15.26534	6.28024	11.59463	8.16425	9.15973	6.69835	11.00871	12.373	0.00833
0.0	12.07365	10.28657	10.0767	5.66693	9.05763	13.07852	11.89846	10.35379	11.47167	10.11767	7.09738	0.03638
0.0	13.81613	6.31109	11.18766	10.89752	12.85467	9.04442	12.27867	12.52162	13.57193	8.77119	11.98082	0.00062
1.0	13.86155	13.86181	16.23059	13.35485	9.72681	15.03925	11.20387	10.41442	10.03974	7.37074	7.90117	0.16342249999999997
0.0	13.49563	7.85679	11.25166	15.81299	14.49025	13.02598	9.48352	6.95853	8.03546	14.85796	12.11863	0.0346
1.0	15.67677	7.17913	13.45312	12.08999	16.9572	15.9063	11.34222	11.53917	10.56488	12.32598	13.95899	0.027995
1.0	11.54944	10.11139	13.96009	17.35314	12.74673	12.04148	10.00118	7.88833	9.58368	10.72525	11.14434	0.01288
1.0	11.39169	9.52353	12.98939	13.93065	9.0977	15.86432	7.4335	13.05918	6.20773	16.40546	13.72685	0.027995
1.0	14.11756	10.45366	13.88353	9.00914	10.46278	12.01662	9.64732	11.94118	11.31155	14.57182	16.48883	0.01258
1.0	9.79603	9.23742	16.16792	11.98627	12.64093	11.14775	7.07842	10.61301	8.12245	11.72139	12.28104	0.00536
0.0	11.12663	9.54607	10.40777	9.6643	13.07739	12.71271	13.94034	13.56693	11.30763	9.13371	13.39573	0.02527
0.0	13.81041	9.96608	11.01183	9.95869	17.45427	15.91736	13.2421	14.72593	11.93578	9.21344	6.66245	0.027995
1.0	14.05835	9.34755	12.72819	9.59024	14.95016	16.07832	9.38276	8.55584	13.10367	12.56477	16.94045	0.027995
0.0	17.25047	10.09698	12.30637	7.26988	9.07232	11.90415	9.38527	15.22446	5.5806	10.733306902982562	12.1121	0.01124
0.0	9.30576	11.41165	8.40864	13.31538	13.79147	11.16609	14.16616	13.67259	12.10937	9.59891	12.75976	0.00542
0.0	14.89592	10.58095	11.33397	8.86484	14.39707	13.65703	12.75509	13.80889	12.40264	11.98289	10.57002	0.06497
0.0	12.92475	7.75146	12.51826	6.20634	13.65751	12.75488	12.45636	12.29841	9.42589	10.63588	15.49619	0.02641
0.0	13.40948	11.75442	13.67394	16.37204	10.78928	10.87979	12.8403	10.97526	11.19324	12.07943	11.15218	0.00405
1.0	10.93265	15.57467	15.25511	13.37081	9.72176	13.44606	11.73901	9.34659	12.75527	11.21246	8.74295	0.05266
0.0	9.61227	7.47237	12.08955	7.39158	16.17002	11.07591	10.81326	15.17716	9.58308	12.02683	11.15819	0.00488
1.0	12.54189	10.42083	11.66787	9.6355	11.2179	15.00046	7.76905	6.52273	12.86881	15.33012	11.336042092208142	0.16342249999999997
0.0	13.77439	10.64707	15.14806	12.40714	11.59955	14.48146	10.97195	8.74639	10.10413	10.70029	12.95408	0.14818
1.0	12.42499	10.386155	19.61671	14.75495	12.24439	17.14218	9.61587	7.26578	10.10638	6.11759	8.48944	0.027995
0.0	11.62417	11.78768	15.48862	7.12778	10.77939	16.31255	13.20739	13.08111	12.33893	10.75141	8.46272	0.027995
1.0	9.01172	11.91902	17.01277	10.22035	11.13587	17.65883	11.25308	10.39662	10.83744	8.7791	6.92062	0.027995
1.0	15.4019	8.16273	13.10015	15.96583	12.41801	16.10453	11.79495	10.84534	6.21682	15.39945	10.9758	0.027995
1.0	16.60816	10.42521	17.00334	7.51105	10.29739	15.10848	10.64022	13.32511	11.87501	12.62441	18.35228	0.16342249999999997
0.0	13.4927	13.81339	8.5285	13.73113	11.49172	14.01281	13.908	11.91182	10.3251	6.16824	16.35609	0.09278
0.0	13.13776	6.46864	11.06148	9.83806	19.01049	11.4828	12.98891	18.08745	7.25475	12.87758	12.35152	0.00747
1.0	15.47617	9.23573	13.46141	12.09186	12.1339	12.82745	10.99107	12.35375	10.45099	14.57134	14.31923	0.02832
1.0	12.2577	8.34127	14.31215	11.2547	14.92119	13.43879	7.55327	9.64161	9.60304	11.39532	12.59778	0.05224
1.0	9.45583	12.19052	13.08705	12.59244	8.75033	17.32464	6.91173	10.77986	7.54697	12.31741	8.64164	0.027995
1.0	13.73202	6.66435	14.0436	13.22796	12.82317	10.81963	6.41654	9.97583	5.25796	15.76841	12.99483	0.00382
1.0	6.92387	12.45575	11.25623	12.69421	7.38856	13.74961	9.17834	7.33841	9.27421	6.73513	6.92767	0.07121
1.0	10.40546	14.08558	15.51861	13.42525	10.78124	15.41934	9.26601	8.73525	9.41807	10.08673	9.567	0.16342249999999997
1.0	11.03977	9.98842	15.53484	7.69329	10.69215	11.36234	12.20843	14.62194	14.02539	9.8166	10.16172	0.00657
0.0	15.71091	9.6419	9.4537	10.58363	14.54472	13.48654	15.89258	12.60616	6.97483	12.91401	10.39799	0.05482
1.0	9.83538	15.89086	11.52224	16.82439	7.12153	11.96012	10.19899	9.63244	8.63026	8.97417	9.83107	0.01194
0.0	12.85397	12.40799	15.63892	5.99218	12.77733	15.83387	12.70548	11.30216	15.07956	9.10353	7.93145	0.027995
1.0	16.52115	10.39526	14.82851	12.15832	10.47968	13.80476	9.39853	12.05482	9.97495	13.58919	13.16877	0.07535
0.0	12.09895	10.6182	15.47477	10.16358	12.02141	16.29851	12.53307	11.60823	14.04513	10.42297	10.58189	0.027995
0.0	15.68639	11.67481	10.75769	12.07122	11.52954	14.2214	10.811620897133222	13.24894	9.58645	14.83238	12.64544	0.11426
1.0	8.08535	10.10229	13.67745	8.87209	9.96374	13.84988	12.63058	10.88459	11.65533	9.18825	7.50954	0.07881
1.0	13.42213	15.93371	15.49815	13.94447	9.9164	12.37374	9.51607	6.46102	11.28912	9.56605	9.77988	0.01803
1.0	13.53758	7.51401	11.24232	15.354	15.51206	13.0885	11.39068	9.43685	6.77219	14.51104	10.93347	0.03683
0.0	14.5417	8.03995	12.1924	12.62739	13.24747	14.99739	11.61813	9.30812	7.64189	14.97904	13.64702	0.16342249999999997
1.0	13.48376	8.93969	13.8214	14.84379	14.16306	15.38255	11.55164	9.0276	9.70604	11.87291	14.66289	0.16342249999999997
1.0	10.455	16.6675	12.91381	16.3734	7.52436	12.66787	9.72454	8.00917	8.11296	8.60314	9.36664	0.02418
1.0	13.68811	8.42443	14.95302	9.30499	10.62551	11.04989	5.69074	10.6318	6.51373	15.65808	15.15414	0.00482
1.0	18.05018	13.32074	6.18845	11.87557	15.52145	15.53931	10.67334	8.22061	11.63647	14.79056	14.65485	0.027995
1.0	13.33281	10.386155	14.44431	16.88786	9.27151	11.62902	8.36083	7.64053	8.89311	9.42825	11.74526	0.0085
1.0	13.48718	10.0804	12.88863	9.44918	11.52167	13.32707	9.64214	11.28905	6.03757	15.78726	14.26457	0.04676
1.0	7.50028	8.2268	15.6766	14.35776	13.14031	10.86977	9.8018	7.96223	10.99448	11.35721	14.09544	0.00408
0.0	11.79124	10.89732	8.53551	11.75822	15.87199	12.00263	9.5985	11.75881	6.9726	6.34408	12.10205	0.01247
1.0	14.44679	8.33275	15.38242	14.36359	11.94352	13.93532	10.32091	10.88282	8.62779	13.479	14.23458	0.08577
1.0	12.66677	10.58002	11.41075	14.48305	13.84461	14.23586	12.73393	9.09165	11.29796	13.60483	12.85255	0.11591
1.0	9.54252	11.79094	12.90169	11.8364	10.68667	15.67779	6.9962	13.03405	9.51175	11.03258	8.68106	0.027995
1.0	7.66844	9.53292	13.2611	8.61808	9.82718	14.21185	12.17906	10.59931	12.48579	7.30623	5.4129	0.11319
1.0	11.38052	6.83769	13.39403	14.32582	14.8194	13.68329	4.99182	7.99661	5.65025	14.20359	14.08557	0.06663
1.0	7.39027	13.43593	12.08183	13.44943	8.03777	12.55171	9.83996	7.97249	9.98395	7.77345	8.63674	0.02145
1.0	6.81883	13.46369	12.29271	12.63312	10.4657	12.16872	8.70841	6.40995	9.59143	9.46	9.84865	0.01475
1.0	13.281	9.52484	13.6258	12.54341	12.77725	12.27398	10.51943	10.83808	6.30929	13.4695	11.01943	0.01634
