ts	imei	mwra	p.android.documentsui	p.system	p.android.settings	p.android.chrome	p.android.externalstorage	p.android.gm	p.android.packageinstaller	p.inputmethod.latin	p.olauncher	p.google	p.process.gapps	p.katana	p.gms.persistent	p.android.defcontainer	p.browser.provider	p.simulator	p.notifier	p.android.vending	p.dogalize	p.android.gms
2018-05-05 10:10:00	3590433799317661321	0.00000	14.30666	14.00181	16.17512	11.23524	11.50619	5.85422	17.01788	58.71774	0.12437	70.60889	53.91779	62.71154	6.37995	49.26883	14.26143	99.91404	78.01157	0.10921	85.78794	3.44839
2018-05-05 10:11:00	359043379931766973	1.00000	11.16830	9.52885	14.67506	10.06595	5.94857	6.79835	11.99237	69.52120	0.00544	50.04444	49.15161	4.68048	29.43378	65.82427	78.10709	19.15454	57.75874	77.65768	78.98536	10.50257
2018-05-05 10:12:00	3590433799317661347	1.00000	11.35530	11.78080	13.08580	7.82771	8.30389	7.91875	9.91529	43.99772	0.00644	73.30043	42.55130	97.47941	69.32043	63.42392	98.46859	76.19787	47.42119	67.17826	92.18598	17.22642
2018-05-05 10:13:00	359043379931766296	1.00000	12.41029	8.34866	11.81337	7.69457	11.14291	9.82296	7.65074	52.49097	0.01870	67.95120	57.29403	83.25359	8.41323	42.73680	12.06013	59.58520	90.49807	91.47919	96.06646	36.89920
2018-05-05 10:14:00	8630330696303482071	1.00000	15.02797	3.67883	15.04050	5.59816	5.45220	6.16903	10.65037	48.92979	0.25585	33.34031	47.77458	87.72707	47.94818	10.94120	71.90283	20.66954	88.12641	11.92061	97.01057	93.14421
2018-05-05 10:15:00	8630330696303481529	1.00000	13.37840	11.53738	10.08776	8.59601	9.89172	10.78069	11.35523	62.10801	0.04914	50.30182	64.06984	28.49034	19.76988	42.30874	69.00140	35.89131	77.83278	58.53231	0.71585	13.39827
2018-05-05 10:16:00	3590433799317661891	0.00000	14.42841	17.21864	13.20032	16.34417	12.86761	10.84939	9.18672	82.43600	0.14047	60.53894	59.56213	78.21621	17.60609	61.84999	49.53127	41.22526	77.55545	11.02854	72.65527	51.44892
2018-05-05 10:17:00	359043379931766809	1.00000	10.08361	9.16116	12.82657	9.23406	8.55306	10.06571	10.03600	45.09332	0.00188	64.91247	46.49593	79.02593	40.41786	23.12164	35.33613	54.30081	81.28116	31.32457	82.88816	14.59326
2018-05-05 10:18:00	8630330696303481230	0.00000	18.24120	11.30173	5.44394	13.38098	14.83230	10.69463	12.59761	67.30412	6.36066	32.35255	58.22896	99.29085	9.46895	13.60770	46.39628	47.75088	11.48289	74.99993	74.94980	68.73744
2018-05-05 10:19:00	863033069630348156	1.00000	14.58991	13.12937	11.05002	11.89911	15.82207	10.20062	17.48661	61.50205	0.16518	41.59934	39.27185	82.91176	63.52124	1.96182	58.90270	43.01467	29.14616	72.05405	73.30620	16.96726
2018-05-05 10:20:00	359043379931766742	1.00000	13.22824	11.41004	6.92357	10.04441	12.30626	12.66133	13.98779	45.48771	0.04234	68.37271	57.08275	92.62984	44.45421	92.31018	83.89168	32.72230	28.18199	5.82096	1.02113	89.81401
2018-05-05 10:21:00	3590433799317661495	1.00000	13.76044	10.08356	12.21638	12.10955	9.62779	9.15009	9.28100	31.57554	0.07206	52.35025	33.34804	12.23043	1.24575	14.85962	93.09139	39.13749	16.03871	51.64448	91.53616	3.55676
2018-05-05 10:22:00	863033069630348305	1.00000	14.36326	11.31520	4.52996	8.47709	13.48337	15.00045	14.50302	37.97292	0.13164	20.68691	63.78137	0.21920	50.01758	66.26329	55.59201	4.95340	0.21212	37.21914	29.57394	19.71176
2018-05-05 10:23:00	359043379931766452	0.00000	8.42794	12.86341	11.19551	14.15240	13.60144	6.96800	9.72739	43.10092	0.00035	43.53152	32.81036	90.71240	74.29477	25.75154	14.34759	81.14083	42.34133	71.05450	88.38195	21.75041
2018-05-05 10:24:00	8630330696303482253	1.00000	13.23460	9.90538	8.72548	8.72049	10.14156	11.36752	13.26581	54.38535	0.04254	57.51364	46.68249	81.35795	17.32281	63.72950	50.59543	87.74020	15.69772	10.71882	89.36832	7.56791
2018-05-05 10:25:00	8630330696303482402	1.00000	12.59713	11.36044	7.58545	7.10237	11.49219	13.36184	17.11845	54.07008	0.02256	40.89034	65.96309	32.12206	1.63620	23.84387	26.12313	70.27475	31.57077	59.96939	62.04550	22.95246
2018-05-05 10:26:00	863033069630348164	1.00000	14.66818	8.45089	14.94114	11.77128	9.57189	9.10245	8.77047	57.90180	0.17862	36.74006	39.77361	60.96716	60.31962	20.88898	38.85807	71.84060	87.59590	67.76927	61.44439	59.01787
2018-05-05 10:27:00	8630330696303481073	1.00000	14.16698	10.01200	8.57112	9.34359	8.40427	14.07282	14.27901	71.01123	0.10821	52.44943	47.07472	80.56234	8.36122	28.36327	26.07015	42.31682	18.55028	37.12139	48.47506	90.09343
2018-05-05 10:28:00	359043379931766254	0.00000	11.43344	11.84307	7.36481	11.16746	14.15270	9.84749	9.81008	26.45040	0.00711	43.66775	30.47080	81.18899	86.90106	52.38922	3.45097	78.65445	61.12631	75.99566	79.24409	54.05969
2018-05-05 10:29:00	8630330696303481586	0.00000	12.89533	10.57286	12.05772	8.15259	6.31760	5.57349	11.25400	75.11086	0.03031	63.24235	50.98705	31.47165	62.24964	26.77116	69.05932	69.78304	29.62541	98.29766	13.45677	18.16071
2018-05-05 10:30:00	359043379931766791	0.00000	11.54674	10.35135	9.89656	13.11258	7.97441	6.40025	12.67278	69.54721	0.00793	55.55452	26.29164	90.20129	77.35776	93.18063	92.96051	47.43161	79.39479	82.93691	47.87068	88.72903
2018-05-05 10:31:00	3590433799317662311	0.00000	9.60559	11.57117	12.44600	15.63734	11.11800	10.34147	12.87415	71.19768	0.00119	28.13123	51.14754	84.90619	14.09674	6.30624	42.06331	45.66998	97.30314	78.98979	66.35444	43.69702
2018-05-05 10:32:00	8630330696303481768	1.00000	17.10902	7.87455	13.21152	10.79296	8.88631	11.62677	8.26090	55.29192	2.05023	58.90835	45.78128	82.03599	45.07842	11.45746	1.52852	80.22244	52.92558	86.14296	12.80056	57.69937
2018-05-05 10:33:00	863033069630348503	1.00000	13.05356	10.33014	13.47285	4.34891	9.24953	10.83485	10.03602	38.51187	0.03550	61.81594	25.38404	73.23289	82.31539	86.63905	37.62063	99.15664	64.47192	6.16506	50.62403	64.81977
2018-05-05 10:34:00	359043379931766262	1.00000	13.29461	6.87329	13.09336	9.24318	12.29985	11.13312	9.73280	28.22878	0.04521	52.00431	45.54722	14.22877	96.45596	97.83459	83.87566	61.49318	16.47318	55.02432	94.82236	1.38961
2018-05-05 10:35:00	3590433799317661818	1.00000	18.80055	9.97562	14.74132	12.75737	13.88705	8.52301	6.87230	39.82130	11.12827	50.34555	42.11715	15.96998	25.04440	4.71404	53.30486	64.77069	55.01637	14.95486	94.29597	6.03221
2018-05-05 10:36:00	3590433799317661222	1.00000	10.77073	10.12324	8.66752	11.36741	12.45611	12.67620	15.63177	48.75770	0.00368	35.00919	41.58522	38.76590	2.50644	46.88562	59.08090	39.66872	27.09838	29.30934	8.06143	68.41387
2018-05-05 10:37:00	863033069630348776	1.00000	11.41072	5.47851	10.75509	11.54497	11.24035	13.26670	15.19688	44.26960	0.00695	38.14816	40.39429	73.08690	78.45202	37.12120	85.92318	28.46331	58.31690	60.39611	14.85452	73.18676
2018-05-05 10:38:00	863033069630348263	1.00000	13.73048	10.12691	11.81509	11.38287	8.55376	13.30785	14.50281	40.05709	0.06991	54.87208	54.88609	28.75582	75.58765	98.60712	35.10564	90.22533	74.45006	84.58956	19.69081	43.82077
2018-05-05 10:39:00	3590433799317661479	0.00000	16.26089	14.23725	12.04800	12.30640	6.27566	7.85578	14.26979	66.71974	0.87790	44.76410	72.92683	45.14385	82.71807	15.38416	83.39961	2.17619	34.43334	4.18840	9.10395	71.90057
2018-05-05 10:40:00	863033069630348941	0.00000	13.08494	15.72554	8.59715	12.51696	15.55407	9.76849	11.27708	31.98622	0.03671	49.08665	40.55468	94.74366	47.16276	85.69820	60.09278	61.20248	91.96009	78.55572	71.39482	41.26769
2018-05-05 10:41:00	359043379931766148	1.00000	13.47378	10.12660	9.32497	7.91219	8.83899	15.23616	17.08101	51.06812	0.05408	49.13928	65.90243	26.10960	69.23681	99.36812	98.99873	73.83438	86.95262	64.97282	14.04210	86.66719
2018-05-05 10:42:00	3590433799317661966	1.00000	15.21964	10.58569	12.16804	8.03966	13.84174	6.74850	6.66274	45.13025	0.30998	56.73633	36.86543	78.97933	38.04505	7.93726	1.59734	47.82138	63.02162	12.82839	10.04158	6.25592
2018-05-05 10:43:00	3590433799317661297	1.00000	11.38364	8.96447	12.33503	10.36298	11.31306	11.90070	14.62604	70.72067	0.00679	48.33856	40.61188	62.72854	53.31765	41.17702	93.25370	18.15851	66.05050	17.26137	39.95899	72.11136
2018-05-05 10:44:00	863033069630348461	0.00000	10.26130	8.20716	13.14400	7.59426	8.81358	11.27712	11.84004	29.50036	0.00218	35.21106	59.32676	75.25718	2.46134	11.69226	97.59302	77.40502	42.72381	76.90028	30.47741	32.98344
2018-05-05 10:45:00	359043379931766726	0.00000	15.23462	18.07149	10.08359	12.49673	13.54849	13.25026	12.04966	45.83549	0.31462	86.37146	29.71005	31.59476	38.06266	0.21177	65.05437	1.65645	48.10332	46.66458	93.77114	61.42487
2018-05-05 10:46:00	359043379931766395	1.00000	12.24097	11.55607	10.11134	10.22185	10.84491	10.97570	8.63048	63.45255	0.01579	54.33095	42.50198	23.34129	16.26015	0.92199	26.54554	13.94276	25.53711	90.65715	75.95901	74.18707
2018-05-05 10:47:00	3590433799317661479	0.00000	14.33425	11.10652	8.39576	12.87188	13.37225	9.51454	9.39406	58.09762	0.12793	68.76177	51.63184	16.58546	7.92920	7.06920	38.26813	38.84315	73.08013	50.22531	81.69831	16.38787
2018-05-05 10:48:00	359043379931766254	1.00000	11.90733	7.32445	10.40031	8.43643	7.83788	13.15079	14.32127	59.99750	0.01136	55.74488	59.90190	94.54370	64.15479	81.19446	9.15275	44.84764	26.52011	6.53158	27.39811	61.69077
2018-05-05 10:49:00	359043379931766064	1.00000	14.70139	13.08683	12.71182	11.71230	9.57089	10.94903	12.09118	39.78896	0.18460	43.75967	50.56798	16.33064	27.99474	15.36322	64.81784	5.05898	10.79826	46.26806	85.32828	24.85776
2018-05-05 10:50:00	3590433799317661628	1.00000	16.63825	12.58010	8.14127	8.16712	9.44103	14.04062	12.51535	54.95197	1.28044	43.55539	55.34892	85.17005	59.21406	28.67607	82.19530	62.49610	26.31784	3.82267	34.66551	52.89735
2018-05-05 10:51:00	3590433799317661487	0.00000	11.30446	9.82433	7.54398	12.34856	13.28118	5.15531	8.34158	48.88324	0.00626	54.04334	48.69453	53.61557	84.11794	54.40692	47.96162	94.97198	73.47749	82.21816	0.96461	11.73564
2018-05-05 10:52:00	3590433799317662261	0.00000	11.60787	13.40451	13.87859	15.24467	10.05675	11.80843	14.35705	50.45495	0.00837	62.68420	75.95039	86.43069	94.24885	22.81498	35.34851	7.32680	96.34893	90.99835	6.99539	66.48743
2018-05-05 10:53:00	8630330696303481909	1.00000	12.04400	7.62346	10.41583	9.13919	6.86095	13.17434	9.45861	59.49183	0.01295	50.08040	48.97112	66.18430	93.91840	12.20455	82.65652	68.08518	5.66794	93.92971	26.15198	42.31224
2018-05-05 10:54:00	863033069630348420	1.00000	13.16842	13.77486	4.98855	10.40125	10.45144	16.19526	10.10343	81.39360	0.03988	38.36658	54.04066	72.86963	57.07969	70.39483	8.54475	49.66177	22.63388	3.10868	80.54431	59.70161
2018-05-05 10:55:00	8630330696303481495	1.00000	14.20179	9.96495	13.76059	12.07252	11.27300	10.25404	6.69904	54.24659	0.11205	61.59262	62.83419	8.87560	81.06786	77.70571	30.04551	91.81029	9.50091	70.76533	8.71843	66.19106
2018-05-05 10:56:00	863033069630348313	0.00000	14.52179	13.95988	12.17758	13.13119	6.76938	8.48963	14.07562	56.08952	0.15430	41.87584	63.94695	6.82704	82.37366	14.43556	66.13898	78.03922	25.28991	48.00324	92.34218	22.08556
2018-05-05 10:57:00	863033069630348354	0.00000	15.59345	11.92427	7.94637	14.65049	16.21242	8.31362	9.63798	59.72062	0.45044	72.71471	42.39791	20.12133	91.41262	24.84323	61.12902	57.85775	61.50098	99.94482	74.14176	67.46578
2018-05-05 10:58:00	863033069630348735	0.00000	16.54749	9.90527	8.26533	16.82668	15.59756	6.36073	6.85231	51.92986	1.16932	55.22895	51.78762	30.46279	69.11484	41.20166	96.88207	13.56591	3.85509	13.03930	77.99878	75.71202
2018-05-05 10:59:00	863033069630348909	0.00000	13.68163	11.44923	8.42954	13.65297	13.49054	10.40001	6.69000	65.59581	0.06660	74.57783	55.58133	85.08946	86.11241	78.56991	35.13829	81.59755	34.41093	82.53702	75.59043	71.53143
2018-05-05 11:00:00	3590433799317661255	1.00000	13.14530	13.35852	13.45230	8.93782	8.09010	10.65372	12.53218	55.84855	0.03896	34.01310	62.84939	22.79365	32.95243	44.64534	75.71501	36.81000	1.70189	17.35790	87.32679	52.28069
2018-05-05 11:01:00	8630330696303482154	0.00000	12.26334	13.15194	14.90593	14.92124	13.70749	8.76997	13.09236	52.18464	0.01613	60.08536	44.67314	13.14228	24.75170	48.67913	7.19566	92.46149	66.46230	79.15572	20.78301	1.55806
2018-05-05 11:02:00	3590433799317661743	1.00000	13.55717	9.52601	8.79635	10.39160	9.49850	14.10577	12.15589	41.10006	0.05887	55.66379	33.84013	59.86145	68.66844	74.91247	69.29468	52.89002	13.96520	83.74917	80.56280	83.30413
2018-05-05 11:03:00	359043379931766544	1.00000	12.51616	10.86866	8.43370	11.41527	10.13896	9.30117	7.36647	65.05780	0.02077	57.87713	46.99642	4.23860	65.48151	41.89948	7.10583	65.04755	19.89880	61.88553	64.06289	27.65663
2018-05-05 11:04:00	863033069630348875	0.00000	10.29431	10.24716	13.63124	8.64313	12.61349	9.26415	13.85456	50.46372	0.00222	55.11308	39.76552	52.86090	44.02630	43.05193	44.57612	25.96222	75.86862	25.87647	78.44272	14.54879
2018-05-05 11:05:00	8630330696303481990	1.00000	10.29769	11.11074	13.91099	8.34840	11.53257	8.25604	9.68945	50.99746	0.00230	22.80698	34.90451	87.25375	33.02873	26.34493	27.65030	92.04207	38.29854	50.17315	70.08146	92.64787
2018-05-05 11:06:00	863033069630348032	0.00000	13.27980	15.81816	15.05244	12.38709	12.82241	10.25927	14.34621	51.77535	0.04463	69.93394	52.66309	4.00864	92.79340	89.03330	8.68682	57.58988	16.01086	45.52935	84.29558	14.93264
2018-05-05 11:07:00	359043379931766478	1.00000	12.10557	10.60997	9.85244	11.66659	4.92976	14.99410	10.49634	50.97087	0.01382	61.32062	48.26219	81.39364	98.17135	81.80438	70.56473	44.11085	71.70282	32.20752	16.60644	36.37986
2018-05-05 11:08:00	3590433799317662113	1.00000	13.26340	10.74624	12.04085	8.66619	9.61585	6.42197	8.70432	52.15859	0.04387	56.65566	48.47675	61.15451	37.94822	70.54997	10.24630	37.02486	4.46885	13.01244	19.96077	86.38684
2018-05-05 11:09:00	8630330696303481032	0.00000	12.16602	8.87730	7.10060	12.63804	15.39002	3.89606	7.09111	71.88944	0.01462	33.18993	48.46053	57.49045	40.68903	98.73632	40.10861	55.79067	79.60949	28.20764	27.62213	30.43197
2018-05-05 11:10:00	3590433799317661073	0.00000	14.48838	13.98056	7.76762	11.29174	14.73131	10.48356	13.04626	49.82478	0.14919	42.07747	41.88090	71.28967	2.98135	87.62409	28.56863	42.01509	96.59769	2.49076	4.97206	21.64842
2018-05-05 11:11:00	8630330696303481396	0.00000	11.66112	14.63461	12.24010	15.16495	12.72392	9.04233	10.62527	57.60926	0.00881	46.05996	27.23665	38.73053	9.00007	0.32326	35.81112	68.95798	56.80489	56.49375	19.54229	79.20915
2018-05-05 11:12:00	3590433799317662154	1.00000	8.66843	12.72463	10.44654	9.96686	12.52503	10.39901	7.82780	58.11258	0.00051	51.61859	53.54404	17.18217	70.74269	59.02549	38.00708	12.17127	96.85940	43.84661	79.13685	93.91296
2018-05-05 11:13:00	8630330696303482188	1.00000	11.11353	12.91716	9.57392	9.24358	12.23548	11.42242	13.29820	55.93707	0.00510	51.28250	58.72814	38.71770	1.02965	33.89176	1.10564	66.65881	73.03837	93.68898	92.32643	40.24557
2018-05-05 11:14:00	359043379931766155	1.00000	14.89367	9.16641	9.94379	4.13559	9.77623	11.93088	16.95548	22.76535	0.22373	44.95964	50.56449	34.71039	4.97869	97.77232	73.81239	5.80688	66.65332	14.13783	67.80978	23.52702
2018-05-05 11:15:00	8630330696303482196	0.00000	18.10201	14.07231	8.68202	11.70041	11.98832	12.86593	6.83536	54.38593	5.53415	59.39033	49.15044	68.18156	71.97041	57.90950	52.63917	29.69609	74.81681	1.12216	90.20835	19.32023
2018-05-05 11:16:00	3590433799317661362	0.00000	13.48883	14.09552	12.40034	12.47678	8.63924	11.53000	10.94276	41.20736	0.05495	55.48739	46.71291	5.42707	52.57417	31.46996	85.62408	5.93063	12.06204	68.12031	84.84989	5.30497
2018-05-05 11:17:00	863033069630348776	1.00000	15.67061	10.23255	6.05618	8.98364	12.05608	14.58091	13.39985	60.79370	0.48651	31.83781	44.43233	80.69551	91.30921	84.41195	4.45481	69.49333	32.92186	34.57520	7.02752	7.93240
2018-05-05 11:18:00	3590433799317661727	1.00000	10.54478	9.57940	7.43698	8.96676	11.97442	12.06875	12.60926	28.19149	0.00296	35.58455	46.76898	38.30301	65.91548	91.16133	2.87597	92.97992	94.48071	92.72025	23.35345	26.93313
2018-05-05 11:19:00	359043379931766387	0.00000	13.38165	12.74582	11.89235	14.49783	11.58133	7.69222	8.40994	50.84347	0.04937	46.67566	46.50715	99.80447	7.63402	52.12799	20.96183	68.70179	77.44451	8.86169	48.15971	13.19293
2018-05-05 11:20:00	3590433799317662261	0.00000	12.61997	9.80245	12.48003	16.06300	11.01922	6.85371	13.54459	53.37135	0.02304	51.04677	59.86220	94.74656	15.30734	58.61157	64.60835	8.19124	33.35347	90.68092	49.89437	11.03898
2018-05-05 11:21:00	3590433799317661933	1.00000	11.58557	7.10978	7.43133	7.44588	13.52957	12.09732	15.83007	43.87988	0.00826	58.09777	45.80054	55.32657	54.41492	67.58133	86.17178	3.12975	95.03930	73.21889	18.56008	89.07567
2018-05-05 11:22:00	8630330696303481891	1.00000	17.37962	11.23647	9.20894	10.38272	8.28284	14.70000	10.78103	52.63618	2.68732	49.89782	56.25774	84.53925	17.52021	84.50669	6.25290	95.18533	29.33502	10.20443	72.49250	62.16989
2018-05-05 11:23:00	8630330696303481578	0.00000	10.40072	7.03153	15.13775	10.44156	9.49285	13.62876	13.30088	37.05839	0.00255	64.69364	14.37536	30.16576	67.51873	75.20030	74.21611	64.43929	85.90528	13.00690	2.56090	69.75323
2018-05-05 11:24:00	3590433799317662204	1.00000	14.71597	8.92728	12.65898	8.67690	8.87805	11.54734	9.58997	38.19605	0.18728	35.81782	60.30214	62.76925	44.52611	63.38349	69.95857	15.32836	0.64391	35.73817	75.51057	93.65220
2018-05-05 11:25:00	8630330696303482386	1.00000	9.50741	11.29227	12.46758	11.19745	9.86121	8.75412	8.96698	67.27802	0.00106	66.01532	66.74606	70.07939	43.17524	20.98037	95.44312	98.25753	61.18660	41.39820	33.02058	31.44934
2018-05-05 11:26:00	863033069630348644	1.00000	15.19579	11.40075	14.57928	12.51516	13.24806	10.39359	7.40641	63.46257	0.30262	39.95856	84.92767	89.82024	49.53169	2.96219	23.11338	57.17404	7.15522	98.18576	73.64750	41.44138
2018-05-05 11:27:00	3590433799317661487	0.00000	13.83114	14.31039	12.76287	12.57091	11.75009	6.61086	13.34484	40.07093	0.07733	74.30492	44.50624	94.29442	81.82757	35.10961	6.94776	29.48259	67.18016	76.04306	34.24398	38.33679
2018-05-05 11:28:00	8630330696303482311	0.00000	17.47880	19.22064	14.21247	14.22258	13.25878	10.25671	20.55636	53.19722	2.96752	31.06762	40.96115	80.03187	28.90653	64.93919	27.37548	95.63400	32.54818	44.46241	17.84169	40.21825
2018-05-05 11:29:00	863033069630348255	1.00000	17.10838	9.07590	12.62725	11.88574	12.62949	8.16119	6.35381	52.99660	2.04891	68.19960	41.91844	82.60250	64.00927	58.76690	25.84761	20.17761	74.78481	73.15054	48.23604	9.02009
2018-05-05 11:30:00	8630330696303482030	1.00000	14.77047	10.94722	10.01578	10.89534	9.56632	13.86097	9.93041	60.33612	0.19778	65.69826	60.88009	18.90965	18.28846	29.75656	50.89597	58.41870	32.42653	55.86179	63.55094	96.64120
2018-05-05 11:31:00	359043379931766155	1.00000	16.37940	10.49307	12.83260	12.18033	8.00092	8.24735	7.88172	52.92443	0.98843	17.34138	38.10908	36.48274	68.02519	40.50910	68.59607	29.88168	86.40476	57.55203	99.31258	44.38314
2018-05-05 11:32:00	359043379931766890	0.00000	13.37686	11.08865	11.91837	12.32459	6.89822	7.03613	13.80158	41.64310	0.04914	32.11992	48.52303	37.08154	32.35062	55.09252	7.75599	21.32020	95.28071	12.34148	51.67341	95.63771
2018-05-05 11:33:00	863033069630348107	1.00000	13.87672	14.24629	9.26307	13.03150	14.07209	8.51197	8.08898	64.99888	0.08088	27.08429	34.95219	10.23496	63.65000	89.76494	95.40818	30.71512	30.37634	32.44074	58.53411	17.90180
2018-05-05 11:34:00	3590433799317661495	0.00000	13.33046	13.51036	13.02903	11.63425	9.32357	8.51637	12.10771	66.78128	0.04686	47.80933	47.69244	54.88287	97.44278	46.96077	28.40694	27.64070	99.29073	28.64625	61.29605	12.81272
2018-05-05 11:35:00	8630330696303481271	1.00000	17.28200	8.01630	9.59378	8.98273	8.72751	5.34597	6.19423	35.39787	2.43741	69.80370	44.11119	15.23064	9.07357	9.89622	73.01666	68.72680	25.70461	68.67993	48.95781	22.92888
2018-05-05 11:36:00	863033069630348313	1.00000	13.56264	10.32155	15.27565	14.89863	11.48085	11.81252	9.03195	36.45891	0.05909	51.20077	38.27881	9.42096	55.94432	30.06136	25.21781	54.74045	67.11657	16.70275	89.35331	51.32341
2018-05-05 11:37:00	8630330696303482071	1.00000	14.53446	8.33147	15.25768	12.09436	6.61678	10.96573	11.03683	45.70991	0.15625	47.39822	43.05362	6.72679	97.87963	18.94279	81.52154	73.95049	7.58200	28.36711	33.46484	16.15637
2018-05-05 11:38:00	3590433799317662352	1.00000	12.56089	8.71682	8.74803	8.42735	12.44971	10.90957	12.08221	48.20285	0.02173	46.95100	41.10523	43.48423	80.38804	30.80227	85.22484	14.71710	80.14064	7.02628	86.85905	78.65094
2018-05-05 11:39:00	359043379931766742	0.00000	12.03615	12.80621	14.31117	10.95105	8.84944	11.61551	11.17229	71.25112	0.01291	38.84721	42.29079	96.62397	18.23573	62.54319	24.73862	65.79705	51.83976	94.33338	84.74432	54.55796
2018-05-05 11:40:00	359043379931766767	0.00000	13.38473	12.12849	10.06374	7.59629	8.97934	9.22944	10.24155	52.23424	0.04951	42.90251	58.39411	20.91165	55.77591	39.69949	58.04641	40.85416	9.36616	5.46503	22.26266	79.18878
2018-05-05 11:41:00	863033069630348628	1.00000	10.51117	12.22230	11.25835	12.39299	11.35782	10.34498	10.45668	47.69614	0.00280	60.10402	33.80113	4.05654	21.14880	16.23141	9.73010	41.84152	78.95072	76.93761	69.31401	31.45435
2018-05-05 11:42:00	8630330696303481370	0.00000	14.94822	14.27767	9.80466	12.32587	12.23945	11.55073	8.26742	48.64615	0.23624	69.69078	42.72226	25.82028	86.86116	20.27882	39.44213	25.17622	60.57548	97.83600	90.13769	93.54122
2018-05-05 11:43:00	863033069630348735	1.00000	11.39643	8.61220	13.59094	8.21383	8.84954	10.84335	11.68020	44.48182	0.00672	53.37206	50.42478	97.57800	39.48625	50.43703	94.15685	34.33185	12.56712	2.66808	47.34536	45.20967
2018-05-05 11:44:00	3590433799317662238	1.00000	14.09020	12.83524	11.90040	9.03259	7.64799	13.76400	9.91943	47.62039	0.10016	58.03062	32.33787	9.71797	42.73709	12.74338	59.95806	49.93349	10.97477	26.46111	98.55941	20.13052
2018-05-05 11:45:00	3590433799317661685	0.00000	12.23480	9.39520	9.59008	10.00224	7.60799	12.23203	9.57445	67.89768	0.01568	36.80878	53.15697	90.77463	46.23364	44.45395	60.92362	11.29895	85.67310	24.87599	75.75141	44.37609
2018-05-05 11:46:00	863033069630348032	1.00000	13.93051	9.14232	7.10867	10.32217	11.68426	14.69047	16.43365	50.06027	0.08536	54.72119	69.98166	84.36228	38.37239	60.07315	14.25950	11.64692	28.37723	33.54326	26.50339	10.72546
2018-05-05 11:47:00	3590433799317662048	0.00000	12.68860	14.08554	14.01667	12.20714	11.56477	11.11216	15.42859	60.47004	0.02470	49.93489	52.60945	60.01971	83.78298	48.18768	23.13908	38.64258	56.93268	44.88434	22.11001	40.87330
